,date,granularite,maille_code,maille_nom,cas_confirmes,cas_ehpad,cas_confirmes_ehpad,cas_possibles_ehpad,deces,deces_ehpad,reanimation,hospitalises,gueris,depistes,source_nom,source_url,source_archive,source_type,susceptible
66,2020-04-04,pays,FRA,France,68605.0,,,,5532.0,2028.0,6838.0,28143.0,15438.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66910425.0
67,2020-04-05,pays,FRA,France,70478.0,,,,5889.0,2189.0,6978.0,28891.0,16183.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66907450.0
68,2020-04-06,pays,FRA,France,74390.0,,,,6494.0,2417.0,7072.0,29722.0,17250.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66901866.0
69,2020-04-07,pays,FRA,France,78167.0,,,,7091.0,3237.0,7131.0,30027.0,19337.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66895405.0
70,2020-04-08,pays,FRA,France,82048.0,,,,7632.0,3237.0,7148.0,30375.0,21254.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66889066.0
71,2020-04-09,pays,FRA,France,86334.0,,,,8044.0,4166.0,7066.0,30767.0,23206.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66882416.0
72,2020-04-10,pays,FRA,France,90676.0,,,,8598.0,4599.0,7004.0,31267.0,24932.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66875794.0
73,2020-04-11,pays,FRA,France,93790.0,,,,8943.0,4889.0,6883.0,31320.0,26391.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66870876.0
74,2020-04-12,pays,FRA,France,95403.0,37188.0,11958.0,25230.0,9253.0,5140.0,6845.0,31826.0,27186.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66868158.0
75,2020-04-13,pays,FRA,France,98076.0,38703.0,12481.0,26222.0,9588.0,5379.0,6821.0,32113.0,27718.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66864618.0
76,2020-04-14,pays,FRA,France,103573.0,39730.0,13050.0,26680.0,10129.0,5600.0,6730.0,32292.0,28805.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66857493.0
77,2020-04-15,pays,FRA,France,106206.0,41657.0,14393.0,27264.0,10643.0,6524.0,6457.0,31779.0,30995.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66852156.0
78,2020-04-16,pays,FRA,France,108847.0,56180.0,18967.0,37213.0,11060.0,6860.0,6248.0,31305.0,32812.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66847281.0
79,2020-04-17,pays,FRA,France,109252.0,58989.0,20272.0,38717.0,11478.0,7203.0,6027.0,31190.0,34420.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66844850.0
80,2020-04-18,pays,FRA,France,111821.0,62135.0,22163.0,39972.0,11842.0,7481.0,5833.0,30639.0,35983.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66840354.0
81,2020-04-19,pays,FRA,France,112606.0,63336.0,23048.0,40288.0,12069.0,7649.0,5744.0,30610.0,36578.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66838747.0
82,2020-04-20,pays,FRA,France,114657.0,64117.0,23668.0,40726.0,12513.0,7752.0,5683.0,30584.0,37409.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66835421.0
83,2020-04-21,pays,FRA,France,117324.0,,,,12900.0,7896.0,5433.0,30106.0,39181.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66830595.0
84,2020-04-22,pays,FRA,France,119151.0,,25513.0,,13236.0,8104.0,5218.0,29741.0,40657.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66826956.0
85,2020-04-23,pays,FRA,France,120804.0,64219.0,26840.0,37379.0,13547.0,8309.0,5053.0,29219.0,42088.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66823561.0
86,2020-04-24,pays,FRA,France,122577.0,65131.0,27880.0,37251.0,13852.0,8393.0,4870.0,28658.0,43493.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66820078.0
87,2020-04-25,pays,FRA,France,124114.0,66500.0,29126.0,37374.0,14050.0,8564.0,4725.0,28222.0,44594.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66817242.0
88,2020-04-26,pays,FRA,France,124575.0,67168.0,29643.0,37525.0,14202.0,8654.0,4682.0,28217.0,44903.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66816320.0
89,2020-04-27,pays,FRA,France,128339.0,67730.0,30227.0,37503.0,14497.0,8796.0,4608.0,28055.0,45513.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66811651.0
90,2020-04-28,pays,FRA,France,129859.0,69893.0,30817.0,39076.0,14810.0,8850.0,4387.0,27484.0,46886.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66808445.0
91,2020-04-29,pays,FRA,France,128442.0,69773.0,31795.0,,15053.0,9034.0,4207.0,26834.0,48228.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66808277.0
92,2020-04-30,pays,FRA,France,129581.0,69952.0,32355.0,,15244.0,9132.0,4019.0,26283.0,49476.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66805699.0
93,2020-05-01,pays,FRA,France,130185.0,69952.0,32791.0,,15369.0,9225.0,3878.0,25887.0,50212.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66804234.0
94,2020-05-02,pays,FRA,France,130979.0,70688.0,33271.0,,15487.0,9273.0,3827.0,25827.0,50562.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66802972.0
95,2020-05-03,pays,FRA,France,131287.0,70767.0,33361.0,,15583.0,9312.0,3819.0,25815.0,50784.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66802346.0
96,2020-05-04,pays,FRA,France,131863.0,71390.0,33791.0,,15826.0,9375.0,3696.0,25548.0,51371.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66800940.0
97,2020-05-05,pays,FRA,France,132967.0,71692.0,34108.0,,16060.0,9471.0,3430.0,24775.0,52736.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66798237.0
98,2020-05-06,pays,FRA,France,137150.0,71548.0,34507.0,,16237.0,9572.0,3147.0,23983.0,53972.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66792641.0
99,2020-05-07,pays,FRA,France,137779.0,71665.0,34653.0,,16386.0,9601.0,2961.0,23208.0,55027.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66790808.0
100,2020-05-08,pays,FRA,France,138421.0,72548.0,34890.0,,16497.0,9733.0,2868.0,22724.0,55782.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66789300.0
101,2020-05-09,pays,FRA,France,138854.0,72850.0,35046.0,,16573.0,9737.0,2812.0,22614.0,56038.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66788535.0
102,2020-05-10,pays,FRA,France,139063.0,73143.0,35236.0,,16642.0,9738.0,2776.0,22569.0,56217.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66788078.0
103,2020-05-11,pays,FRA,France,139519.0,73099.0,35195.0,,16820.0,9823.0,2712.0,22284.0,56724.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66786937.0
104,2020-05-12,pays,FRA,France,140227.0,73435.0,35437.0,,17003.0,9988.0,2542.0,21595.0,57785.0,,Ministère des Solidarités et de la Santé,,,ministere-sante,66784985.0
